# source	target	note
一回	一囘	別字衝突
七回	七囘	別字衝突
万回	萬囘	別字衝突
三回	三囘	別字衝突
九回	九囘	別字衝突
予備	豫備	別字衝突
予告	豫告	別字衝突
予定	豫定	別字衝突
予想	豫想	別字衝突
予期	豫期	別字衝突
予測	豫測	別字衝突
予算	豫算	別字衝突
予約	豫約	別字衝突
予言	豫言	別字衝突
予選	豫選	別字衝突
予防	豫防	別字衝突
二回	二囘	別字衝突
五回	五囘	別字衝突
京回	京囘	別字衝突
今回	今囘	別字衝突
付与	付與	別字衝突
余剩	餘剩	別字衝突
余剰	餘剩	別字衝突
余地	餘地	別字衝突
余域	餘域	別字衝突
余暇	餘暇	別字衝突
保証	保證	別字衝突
億回	億囘	別字衝突
兆回	兆囘	別字衝突
八回	八囘	別字衝突
六回	六囘	別字衝突
初回	初囘	別字衝突
前回	前囘	別字衝突
剩余	剩餘	別字衝突
剰余	剩餘	別字衝突
剰餘	剩餘	別字衝突
動画	動畫	別字衝突
医学	醫學	別字衝突
医局	醫局	別字衝突
医師	醫師	別字衝突
医療	醫療	別字衝突
医科	醫科	別字衝突
医者	醫者	別字衝突
医薬	醫藥	別字衝突
医院	醫院	別字衝突
十回	十囘	別字衝突
千回	千囘	別字衝突
台座	臺座	別字衝突
台本	臺本	別字衝突
台湾	臺灣	別字衝突
台灣	臺灣	別字衝突
台車	臺車	別字衝突
合弁	合辦	別字衝突
囘収	囘收	別字衝突
囘帰	囘歸	別字衝突
囘数	囘數	別字衝突
囘転	廻轉	別字衝突
囘轉	廻轉	別字衝突
四回	四囘	別字衝突
回収	囘收	別字衝突
回帰	囘歸	別字衝突
回想	囘想	別字衝突
回收	囘收	別字衝突
回数	囘數	別字衝突
回數	囘數	別字衝突
回歸	囘歸	別字衝突
回答	囘答	別字衝突
回路	囘路	別字衝突
回転	廻轉	別字衝突
回轉	廻轉	別字衝突
回避	囘避	別字衝突
回顧	囘顧	別字衝突
天台	天台	別字衝突
奪回	奪囘	別字衝突
実証	實證	別字衝突
実證	實證	別字衝突
實証	實證	別字衝突
廻転	廻轉	別字衝突
弁別	辨別	別字衝突
弁当	辨當	別字衝突
弁解	辯解	別字衝突
弁証	辨證	別字衝突
弁論	辯論	別字衝突
弁護	辯護	別字衝突
弁髪	辮髮	別字衝突
思弁	思辨	別字衝突
検証	檢證	別字衝突
検證	檢證	別字衝突
檢証	檢證	別字衝突
欠乏	缺乏	別字衝突
欠如	缺如	別字衝突
欠点	缺點	別字衝突
欠落	缺落	別字衝突
欠點	缺點	別字衝突
次回	次囘	別字衝突
残余	殘餘	別字衝突
残餘	殘餘	別字衝突
殘余	殘餘	別字衝突
毎回	每囘	別字衝突
画像	畫像	別字衝突
画素	畫素	別字衝突
百回	百囘	別字衝突
缺点	缺點	別字衝突
翻訳	飜譯	別字衝突
翻譯	飜譯	別字衝突
臺湾	臺灣	別字衝突
舞台	舞臺	別字衝突
花弁	花瓣	別字衝突
芸術	藝術	別字衝突
計画	計劃	別字衝突
計畫	計劃	別字衝突
証左	證左	別字衝突
証拠	證據	別字衝突
証據	證據	別字衝突
証明	證明	別字衝突
証言	證言	別字衝突
認証	認證	別字衝突
證拠	證據	別字衝突
転囘	轉囘	別字衝突
転回	轉囘	別字衝突
轉回	轉囘	別字衝突
迂回	迂廻	別字衝突
連係	連攜	別字衝突
連携	連攜	別字衝突
附与	付與	別字衝突
附與	付與	別字衝突
飜訳	飜譯	別字衝突
餘剰	餘剩	別字衝突
ソ連	ソ聯	ソビエト聯邦
一連	一聯	同音の漢字による書きかへ
內訳	內訣	同音の漢字による書きかへ
內譯	內訣	同音の漢字による書きかへ
内訣	內訣	同音の漢字による書きかへ
内訳	內訣	同音の漢字による書きかへ
内譯	內訣	同音の漢字による書きかへ
函数	函數	同音の漢字による書きかへ
制御	制禦	同音の漢字による書きかへ
動転	動顚	同音の漢字による書きかへ
台頭	擡頭	同音の漢字による書きかへ
囘復	恢復	同音の漢字による書きかへ
回復	恢復	同音の漢字による書きかへ
国聯	國聯	同音の漢字による書きかへ
国連	國聯	同音の漢字による書きかへ
國連	國聯	同音の漢字による書きかへ
比喩	譬喩	同音の漢字による書きかへ
注記	註記	同音の漢字による書きかへ
知識	智識	同音の漢字による書きかへ
統御	統禦	同音の漢字による書きかへ
聯繋	聯繫	同音の漢字による書きかへ
計画	計劃	同音の漢字による書きかへ
連結	聯結	同音の漢字による書きかへ
連繋	聯繫	同音の漢字による書きかへ
連繫	聯繫	同音の漢字による書きかへ
関数	函數	同音の漢字による書きかへ
関數	函數	同音の漢字による書きかへ
関聨	關聯	同音の漢字による書きかへ
関連	關聯	同音の漢字による書きかへ
關數	函數	同音の漢字による書きかへ
關連	關聯	同音の漢字による書きかへ
阻害	阻礙	同音の漢字による書きかへ
付か	附か	くっつくのは「附」、あたへるのは「付」
付き	附き	くっつくのは「附」、あたへるのは「付」
付く	附く	くっつくのは「附」、あたへるのは「付」
付け	附け	くっつくのは「附」、あたへるのは「付」
付こ	附こ	くっつくのは「附」、あたへるのは「付」
付加	附加	くっつくのは「附」、あたへるのは「付」
付属	附屬	くっつくのは「附」、あたへるのは「付」
付屬	附屬	くっつくのは「附」、あたへるのは「付」
付記	附記	くっつくのは「附」、あたへるのは「付」
付錄	附錄	くっつくのは「附」、あたへるのは「付」
付録	附錄	くっつくのは「附」、あたへるのは「付」
受付	受附	くっつくのは「附」、あたへるのは「付」
日付	日附	くっつくのは「附」、あたへるのは「付」
添付	添附	くっつくのは「附」、あたへるのは「付」
附属	附屬	くっつくのは「附」、あたへるのは「付」
附録	附錄	くっつくのは「附」、あたへるのは「付」
內分け	內訣	同音の漢字による書きかへ
内分け	內訣	同音の漢字による書きかへ
不十分	不充分	「10 minutes」と見分ける爲に「充分」で統一する
上回る	上囘る	別字衝突
下回る	下囘る	別字衝突
余極限	餘極限	別字衝突
最終回	最終囘	別字衝突
上付き	上附き	くっつくのは「附」、あたへるのは「付」
下付き	下附き	くっつくのは「附」、あたへるのは「付」
手付金	手附金	くっつくのは「附」、あたへるのは「付」
充分条件	充分條件	「10 minutes」と見分ける爲に「充分」で統一する
十分条件	充分條件	「10 minutes」と見分ける爲に「充分」で統一する
十分條件	充分條件	「10 minutes」と見分ける爲に「充分」で統一する
必要十分	必要充分	「10 minutes」と見分ける爲に「充分」で統一する
