# source	target	kind	note
七転八倒	七顚八倒	pending	文化廳「同音の漢字による書きかえ」
戦々恐々	戦々兢々	pending	文化廳「同音の漢字による書きかえ」
下克上	下剋上	pending	文化廳「同音の漢字による書きかえ」
名誉欲	名誉慾	pending	文化廳「同音の漢字による書きかえ」
射幸心	射倖心	pending	文化廳「同音の漢字による書きかえ」
希元素	稀元素	pending	文化廳「同音の漢字による書きかえ」
希硫酸	稀硫酸	pending	文化廳「同音の漢字による書きかえ」
慰謝料	慰藉料	pending	文化廳「同音の漢字による書きかえ」
放物線	抛物線	pending	文化廳「同音の漢字による書きかえ」
溶鉱炉	鎔鉱炉	pending	文化廳「同音の漢字による書きかえ」
画期的	劃期的	pending	文化廳「同音の漢字による書きかえ」
皆既食	皆既蝕	pending	文化廳「同音の漢字による書きかえ」
管弦楽	管絃楽	pending	文化廳「同音の漢字による書きかえ」
一丁	一挺	pending	文化廳「同音の漢字による書きかえ」
丁寧	叮嚀	pending	文化廳「同音の漢字による書きかえ」
丁重	鄭重	pending	文化廳「同音の漢字による書きかえ」
三弦	三絃	pending	文化廳「同音の漢字による書きかえ」
乾留	乾溜	pending	文化廳「同音の漢字による書きかえ」
了承	諒承	pending	文化廳「同音の漢字による書きかえ」
了解	諒解	pending	文化廳「同音の漢字による書きかえ」
交差	交叉	pending	文化廳「同音の漢字による書きかえ」
交歓	交驩	pending	文化廳「同音の漢字による書きかえ」
企画	企劃	pending	文化廳「同音の漢字による書きかえ」
伸長	伸暢	pending	文化廳「同音の漢字による書きかえ」
低回	彽徊	pending	文化廳「同音の漢字による書きかえ」
供応	饗応	pending	文化廳「同音の漢字による書きかえ」
侵略	侵掠	pending	文化廳「同音の漢字による書きかえ」
侵食	侵蝕	pending	文化廳「同音の漢字による書きかえ」
係争	繋争	pending	文化廳「同音の漢字による書きかえ」
係属	繋属	pending	文化廳「同音の漢字による書きかえ」
係留	繋留	pending	文化廳「同音の漢字による書きかえ」
係船	繋船	pending	文化廳「同音の漢字による書きかえ」
俊才	駿才	pending	文化廳「同音の漢字による書きかえ」
保母	保姆	pending	文化廳「同音の漢字による書きかえ」
保育	哺育	pending	文化廳「同音の漢字による書きかえ」
倉皇	蒼煌	pending	文化廳「同音の漢字による書きかえ」
倒壊	倒潰	pending	文化廳「同音の漢字による書きかえ」
停泊	碇泊	pending	文化廳「同音の漢字による書きかえ」
元凶	元兇	pending	文化廳「同音の漢字による書きかえ」
先端	尖端	pending	文化廳「同音の漢字による書きかえ」
先鋭	尖鋭	pending	文化廳「同音の漢字による書きかえ」
全壊	全潰	pending	文化廳「同音の漢字による書きかえ」
凶刃	兇刃	pending	文化廳「同音の漢字による書きかえ」
凶器	兇器	pending	文化廳「同音の漢字による書きかえ」
凶変	兇変	pending	文化廳「同音の漢字による書きかえ」
凶悪	兇悪	pending	文化廳「同音の漢字による書きかえ」
凶暴	兇暴	pending	文化廳「同音の漢字による書きかえ」
凶漢	兇漢	pending	文化廳「同音の漢字による書きかえ」
凶行	兇行	pending	文化廳「同音の漢字による書きかえ」
利口	悧巧	pending	文化廳「同音の漢字による書きかえ」
刺激	刺戟	pending	文化廳「同音の漢字による書きかえ」
包丁	庖丁	pending	文化廳「同音の漢字による書きかえ」
包帯	繃帯	pending	文化廳「同音の漢字による書きかえ」
区画	区劃	pending	文化廳「同音の漢字による書きかえ」
厳然	儼然	pending	文化廳「同音の漢字による書きかえ」
反乱	叛乱	pending	文化廳「同音の漢字による書きかえ」
反旗	叛旗	pending	文化廳「同音の漢字による書きかえ」
反発	反撥	pending	文化廳「同音の漢字による書きかえ」
反逆	叛逆	pending	文化廳「同音の漢字による書きかえ」
収集	蒐集	pending	文化廳「同音の漢字による書きかえ」
叙情	抒情	pending	文化廳「同音の漢字による書きかえ」
古希	古稀	pending	文化廳「同音の漢字による書きかえ」
古跡	古蹟	pending	文化廳「同音の漢字による書きかえ」
台風	颱風	pending	文化廳「同音の漢字による書きかえ」
史跡	史蹟	pending	文化廳「同音の漢字による書きかえ」
吟唱	吟誦	pending	文化廳「同音の漢字による書きかえ」
喫水	吃水	pending	文化廳「同音の漢字による書きかえ」
嘆願	歎願	pending	文化廳「同音の漢字による書きかえ」
回廊	廻廊	pending	文化廳「同音の漢字による書きかえ」
回復	恢復	pending	文化廳「同音の漢字による書きかえ」
回虫	蛔虫	pending	文化廳「同音の漢字による書きかえ」
回転	廻転	pending	文化廳「同音の漢字による書きかえ」
回送	廻送	pending	文化廳「同音の漢字による書きかえ」
園地	苑地	pending	文化廳「同音の漢字による書きかえ」
壊乱	潰乱	pending	文化廳「同音の漢字による書きかえ」
壊滅	潰滅	pending	文化廳「同音の漢字による書きかえ」
外郭	外廓	pending	文化廳「同音の漢字による書きかえ」
大欲	大慾	pending	文化廳「同音の漢字による書きかえ」
奇形	畸形	pending	文化廳「同音の漢字による書きかえ」
奇談	綺談	pending	文化廳「同音の漢字による書きかえ」
奇跡	奇蹟	pending	文化廳「同音の漢字による書きかえ」
奪略	奪掠	pending	文化廳「同音の漢字による書きかえ」
妨害	妨碍	pending	文化廳「同音の漢字による書きかえ」
安逸	安佚	pending	文化廳「同音の漢字による書きかえ」
専断	擅断	pending	文化廳「同音の漢字による書きかえ」
尋問	訊問	pending	文化廳「同音の漢字による書きかえ」
崩壊	崩潰	pending	文化廳「同音の漢字による書きかえ」
希代	稀代	pending	文化廳「同音の漢字による書きかえ」
希少	稀少	pending	文化廳「同音の漢字による書きかえ」
希薄	稀薄	pending	文化廳「同音の漢字による書きかえ」
希釈	稀釈	pending	文化廳「同音の漢字による書きかえ」
干天	旱天	pending	文化廳「同音の漢字による書きかえ」
干害	旱害	pending	文化廳「同音の漢字による書きかえ」
広報	弘報	pending	文化廳「同音の漢字による書きかえ」
広壮	宏壮	pending	文化廳「同音の漢字による書きかえ」
広大	宏大	pending	文化廳「同音の漢字による書きかえ」
広範	広汎	pending	文化廳「同音の漢字による書きかえ」
広野	曠野	pending	文化廳「同音の漢字による書きかえ」
座州	坐洲	pending	文化廳「同音の漢字による書きかえ」
座礁	坐礁	pending	文化廳「同音の漢字による書きかえ」
座視	坐視	pending	文化廳「同音の漢字による書きかえ」
弦歌	絃歌	pending	文化廳「同音の漢字による書きかえ」
強固	鞏固	pending	文化廳「同音の漢字による書きかえ」
強欲	強慾	pending	文化廳「同音の漢字による書きかえ」
御者	馭者	pending	文化廳「同音の漢字による書きかえ」
快活	快濶	pending	文化廳「同音の漢字による書きかえ」
性欲	性慾	pending	文化廳「同音の漢字による書きかえ」
恩義	恩誼	pending	文化廳「同音の漢字による書きかえ」
情義	情誼	pending	文化廳「同音の漢字による書きかえ」
意向	意嚮	pending	文化廳「同音の漢字による書きかえ」
愛欲	愛慾	pending	文化廳「同音の漢字による書きかえ」
憶測	臆測	pending	文化廳「同音の漢字による書きかえ」
憶説	臆説	pending	文化廳「同音の漢字による書きかえ」
戒告	誡告	pending	文化廳「同音の漢字による書きかえ」
戦没	戦歿	pending	文化廳「同音の漢字による書きかえ」
扇動	煽動	pending	文化廳「同音の漢字による書きかえ」
扇情	煽情	pending	文化廳「同音の漢字による書きかえ」
