# source(简化字/繁體字)	target(日本語の字體)	note
义	義	简化字
从	従	简化字
传	伝	简化字
债	債	简化字
值	値	简化字
关	関	简化字
决	決	简化字
减	減	简化字
别	別	简化字
华	華	简化字
协	協	简化字
单	単	简化字
图	図	简化字
处	処	简化字
备	備	简化字
头	頭	简化字
实	実	简化字
对	対	简化字
导	導	简化字
归	帰	简化字
战	戦	简化字
损	損	简化字
时	時	简化字
权	権	简化字
极	極	简化字
构	構	简化字
检	検	简化字
气	気	简化字
汉	漢	简化字
济	済	简化字
满	満	简化字
现	現	简化字
电	電	简化字
类	類	简化字
级	級	简化字
练	練	简化字
经	経	简化字
结	結	简化字
统	統	简化字
续	続	简化字
网	網	简化字
罗	羅	简化字
联	聯	简化字
营	営	简化字
见	見	简化字
观	観	简化字
规	規	简化字
计	計	简化字
认	認	简化字
让	譲	简化字
训	訓	简化字
议	議	简化字
记	記	简化字
论	論	简化字
设	設	简化字
证	証	简化字
语	語	简化字
说	説	简化字
车	車	简化字
达	達	简化字
过	過	简化字
还	還	简化字
进	進	简化字
邻	隣	简化字
长	長	简化字
门	門	简化字
问	問	简化字
题	題	简化字
风	風	简化字
飞	飛	简化字
马	馬	简化字
鱼	魚	简化字
鸟	鳥	简化字
龙	竜	简化字
